Electricity generation total (kilowatt-hours);1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
Colombia;35,39,30,00,000.00;36,66,10,00,000.00;35,99,30,00,000.00;40,29,80,00,000.00;43,35,40,00,000.00;45,30,30,00,000.00;44,86,90,00,000.00;45,90,00,00,000.00;46,06,50,00,000.00;44,40,00,00,000.00;42,29,60,00,000.00;43,30,00,00,000.00;45,80,00,00,000.00;47,10,00,00,000.00;48,57,09,90,000.00;49,29,47,90,000.00;52,34,00,51,230.00;53,62,59,00,000.00;54,39,58,00,000.00
Czech Rep.;62,56,00,00,000.00;60,52,80,00,000.00;59,29,30,00,000.00;58,88,20,00,000.00;58,70,50,00,000.00;60,84,70,00,000.00;64,25,70,00,000.00;64,59,80,00,000.00;64,93,00,00,000.00;64,69,20,00,000.00;73,46,60,00,000.00;74,64,70,00,000.00;76,34,80,00,000.00;83,22,70,00,000.00;84,33,30,00,000.00;82,57,90,00,000.00;84,28,80,00,000.00;88,08,10,00,000.00;85,48,60,00,000.00
Denmark;25,75,80,00,000.00;36,33,00,00,000.00;30,84,90,00,000.00;33,73,80,00,000.00;40,55,40,00,000.00;36,60,40,00,000.00;53,55,10,00,000.00;43,72,70,00,000.00;40,98,50,00,000.00;38,86,90,00,000.00;35,83,80,00,000.00;37,60,50,00,000.00;39,04,70,00,000.00;45,99,30,00,000.00;40,26,00,00,000.00;36,02,70,00,000.00;45,59,10,00,000.00;39,22,70,00,000.00;36,41,10,00,000.00
Ecuador;6,34,88,54,000.00;6,74,45,58,000.00;7,19,60,27,000.00;7,41,13,05,000.00;8,14,39,96,000.00;8,42,85,96,000.00;9,67,20,06,000.00;10,36,17,49,000.00;10,89,03,52,000.00;10,33,18,80,000.00;10,61,24,39,000.00;11,07,20,00,000.00;11,94,39,00,000.00;12,66,57,00,000.00;14,22,65,00,000.00;15,12,75,00,000.00;16,08,63,00,000.00;18,19,75,00,000.00;19,53,25,00,000.00
Egypt;42,86,30,00,000.00;44,88,00,00,000.00;46,73,90,00,000.00;48,32,10,00,000.00;50,44,60,00,000.00;53,39,80,00,000.00;56,56,10,00,000.00;61,00,00,00,000.00;65,15,90,00,000.00;70,74,70,00,000.00;72,98,00,00,000.00;80,22,00,00,000.00;85,68,10,00,000.00;91,51,70,00,000.00;97,30,40,00,000.00;1,03,98,20,00,000.00;1,10,70,60,00,000.00;1,18,96,60,00,000.00;1,27,85,30,00,000.00
Finland;53,98,30,00,000.00;57,49,50,00,000.00;57,27,70,00,000.00;60,57,50,00,000.00;65,03,10,00,000.00;63,18,60,00,000.00;69,37,20,00,000.00;68,78,20,00,000.00;70,03,50,00,000.00;69,47,50,00,000.00;69,95,20,00,000.00;74,34,00,00,000.00;75,22,80,00,000.00;83,88,10,00,000.00;85,65,90,00,000.00;70,25,40,00,000.00;82,15,70,00,000.00;81,24,80,00,000.00;77,13,70,00,000.00
France;4,20,15,50,00,000.00;4,54,73,50,00,000.00;4,63,09,70,00,000.00;4,72,57,50,00,000.00;4,76,90,70,00,000.00;4,93,90,00,00,000.00;5,13,13,90,00,000.00;5,04,14,80,00,000.00;5,10,89,20,00,000.00;5,23,55,70,00,000.00;5,40,80,00,00,000.00;5,49,80,00,00,000.00;5,59,20,00,00,000.00;5,66,90,00,00,000.00;5,74,30,00,00,000.00;5,76,20,00,00,000.00;5,74,60,00,00,000.00;5,69,80,00,00,000.00;5,74,40,00,00,000.00
Germany;5,49,87,70,00,000.00;5,39,39,10,00,000.00;5,37,13,60,00,000.00;5,25,72,10,00,000.00;5,28,22,10,00,000.00;5,34,72,70,00,000.00;5,50,30,90,00,000.00;5,49,74,60,00,000.00;5,53,42,20,00,000.00;5,54,90,00,00,000.00;5,64,45,00,00,000.00;5,86,10,00,00,000.00;5,86,70,00,00,000.00;6,07,50,00,00,000.00;6,16,00,00,00,000.00;6,20,30,00,00,000.00;6,36,80,00,00,000.00;6,37,60,00,00,000.00;6,39,10,00,00,000.00
Greece;35,00,30,00,000.00;35,81,30,00,000.00;37,41,00,00,000.00;38,39,60,00,000.00;40,62,30,00,000.00;41,55,10,00,000.00;42,55,70,00,000.00;43,50,50,00,000.00;46,32,90,00,000.00;49,62,00,00,000.00;53,84,30,00,000.00;53,70,40,00,000.00;54,60,80,00,000.00;58,47,80,00,000.00;59,34,60,00,000.00;60,02,00,00,000.00;60,78,90,00,000.00;63,24,30,00,000.00;62,14,30,00,000.00
Hong Kong, China;28,96,00,00,000.00;31,88,90,00,000.00;35,07,60,00,000.00;35,94,70,00,000.00;26,74,10,00,000.00;27,91,60,00,000.00;28,44,00,00,000.00;28,94,30,00,000.00;31,13,40,00,000.00;29,49,60,00,000.00;31,32,90,00,000.00;32,42,90,00,000.00;34,31,20,00,000.00;35,50,60,00,000.00;37,12,90,00,000.00;38,44,83,33,330.00;38,61,25,00,000.00;38,94,77,77,780.00;37,99,02,78,000.00
